total_week,country_code,total_books,after,treated,deaths,cases,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,close_public_transport,stay_at_home_requirements,nacionaltravel,internationaltravel,after_treated
28,GRC,30.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
28,HKG,4.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
28,HUN,18.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
28,IDN,15.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
28,IND,245.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
28,IRL,20.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
28,ISR,35.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
28,ITA,718.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
28,JPN,12.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
28,LVA,9.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
28,MEX,131.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
28,NLD,285.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
28,NOR,99.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
28,PHL,25.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
28,POL,8.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
28,PRT,206.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
28,ROU,31.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
28,RUS,5.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
28,SGP,28.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
28,SVK,4.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
28,SWE,426.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
28,TUR,21.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
28,URY,49.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
28,USA,3945.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
29,ARG,29.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
29,AUS,469.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
29,AUT,69.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
29,BEL,260.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
29,BGR,13.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
29,BRA,648.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
29,CAN,265.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
29,CHE,23.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
29,CHL,150.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
29,CHN,5.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
29,COL,39.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
29,DEU,300.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
29,DNK,29.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
29,ESP,119.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
29,EST,8.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
29,FIN,515.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
29,FRA,294.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
29,GBR,611.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
29,GRC,21.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
29,HKG,5.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
29,HUN,9.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
29,IDN,18.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
29,IND,312.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
29,IRL,25.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
29,ISR,21.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
29,ITA,568.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
29,JPN,18.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
29,LVA,12.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
29,MEX,164.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
29,NLD,411.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
29,NOR,64.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
29,PER,2.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
29,PHL,23.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
29,POL,16.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
29,PRT,150.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
29,ROU,41.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
29,RUS,5.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
29,SGP,26.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
29,SVK,4.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
29,SWE,569.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
29,TUR,33.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
29,URY,34.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
29,USA,3819.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
30,ARG,68.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
